Product,Name,Rating,CommentHead,Comment
nokia,Ansul  Sharda,5,Terrific,Beautiful phone owsm performance ... Delevery person was very good .. Thank You
nokia,Madhav Yadav,5,Best in the market!,Good product
nokia,Mohammad Kashif  ZAMAN ,4,Wonderful,Nice phone special for old man/woman
nokia,Eswar Patnana,5,Terrific purchase,superb built quality... excellent for senior citizens....
nokia,Ashu  Khan ,5,Just wow!,nice phone pink 😍😘😘
nokia,Chrysto,5,Simply awesome,One of the best from Nokia
nokia,Tilak Chouhan,5,Classy product,"keypad is quite good, back side of phone have soft  roundy finish, colour display, tourch, snake game & calling feature with a moderate 800 mah battery. Balanced phone & can be a good option of secondary phone... feeling happy 😊😊😊"
nokia,Mohammad Zeeshan,5,Awesome,Good product
nokia,Jatin Gupta,5,Awesome,very nice phone for calling..
nokia,Bhupesh Shakya,5,Wonderful,Very good product thankyou Flipkart
nokia,No Name,No Rating,No Comment Heading,No Customer Comment
